"Relative Time (Process)","4_finetune_encoder_and_train_classifier_process_mwe_20250328_182608 - system/gpu.0.powerWatts","4_finetune_encoder_and_train_classifier_process_mwe_20250328_182608 - system/gpu.0.powerWatts__MIN","4_finetune_encoder_and_train_classifier_process_mwe_20250328_182608 - system/gpu.0.powerWatts__MAX"
"15.515345678","172.475","172.475","172.475"
"30.514743856","177.663","177.663","177.663"
"45.512990634","165.604","165.604","165.604"
"60.515421434","179.88","179.88","179.88"
"75.510835748","121.133","121.133","121.133"
"90.513459526","172.638","172.638","172.638"
"105.510416307","169.9","169.9","169.9"
"120.520108924","87.055","87.055","87.055"
"135.515273325","121.132","121.132","121.132"
"150.514129184","50.204","50.204","50.204"
"165.511839788","172.889","172.889","172.889"
"180.512986247","190.318","190.318","190.318"
"195.509937887","173.913","173.913","173.913"
"210.513212897","183.924","183.924","183.924"
"225.5109225","184.687","184.687","184.687"
"240.510707158","179.251","179.251","179.251"
"255.511723967","169.804","169.804","169.804"
"270.510156663","196.607","196.607","196.607"
"285.517171098","200.126","200.126","200.126"
"300.509995688","173.244","173.244","173.244"
"315.513080411","177.755","177.755","177.755"
"330.513360198","202.211","202.211","202.211"
"345.510801009","179.038","179.038","179.038"
"360.510668494","172.661","172.661","172.661"
"375.515716029","168.085","168.085","168.085"
"390.512535448","188.758","188.758","188.758"
"405.514771228","174.238","174.238","174.238"
"420.512117217","110.584","110.584","110.584"
"435.518082841","193.309","193.309","193.309"
"450.511182129","197.464","197.464","197.464"
"465.511366015","176.28","176.28","176.28"
"480.513346531","175.566","175.566","175.566"
"495.511919596","56.613","56.613","56.613"
"510.513529977","51.758","51.758","51.758"
"525.510945621","161.793","161.793","161.793"
"540.510669558","164.884","164.884","164.884"
"555.522620218","179.942","179.942","179.942"
"570.510118763","202.635","202.635","202.635"
"585.512103585","132.607","132.607","132.607"
"600.510055792","166.158","166.158","166.158"
"615.513647162","174.631","174.631","174.631"
"630.511296224","165.121","165.121","165.121"
"645.510906181","164.169","164.169","164.169"
"660.512496515","169.859","169.859","169.859"
"675.521447345","171.467","171.467","171.467"
"690.511878889","159.492","159.492","159.492"
"705.516425563","184.113","184.113","184.113"
"720.510349694","162.477","162.477","162.477"
"735.514981802","160.239","160.239","160.239"
"750.510057407","158.36","158.36","158.36"
"765.514633405","167.354","167.354","167.354"
"780.510201144","160.33","160.33","160.33"
"795.511797376","124.086","124.086","124.086"
"810.518121825","141.84","141.84","141.84"
"825.510933872","160.725","160.725","160.725"
"840.510309487","200.818","200.818","200.818"
"855.510085642","185.812","185.812","185.812"
"870.516312931","189.927","189.927","189.927"
"885.513696891","167.594","167.594","167.594"
"900.51090118","167.261","167.261","167.261"
"915.511036943","186.818","186.818","186.818"
"930.511502938","163.271","163.271","163.271"
"945.512789755","49.913","49.913","49.913"
"960.510470525","61.912","61.912","61.912"
"975.512650529","189.47","189.47","189.47"
"990.518044494","165.499","165.499","165.499"
"1005.510587182","196.836","196.836","196.836"
"1020.518733789","157.207","157.207","157.207"
"1035.510805085","189.195","189.195","189.195"
"1050.514341065","161.034","161.034","161.034"
"1065.510943603","173.958","173.958","173.958"
"1080.510327729","164.66","164.66","164.66"
"1095.512614902","100.975","100.975","100.975"
