"Relative Time (Process)","5_finetune_encoder_and_train_classifier_process_mwe_custom_loss_1_20250328_202050 - system/gpu.1.powerWatts","5_finetune_encoder_and_train_classifier_process_mwe_custom_loss_1_20250328_202050 - system/gpu.1.powerWatts__MIN","5_finetune_encoder_and_train_classifier_process_mwe_custom_loss_1_20250328_202050 - system/gpu.1.powerWatts__MAX"
"15.50721645","182.643","182.643","182.643"
"30.508922096","171.37","171.37","171.37"
"45.505952097","126.782","126.782","126.782"
"60.505671876","172.872","172.872","172.872"
"75.506844568","193.881","193.881","193.881"
"90.506067384","184.968","184.968","184.968"
"105.510187709","172.416","172.416","172.416"
"120.505673325","168.441","168.441","168.441"
"135.511854897","179.305","179.305","179.305"
"150.504203029","48.775","48.775","48.775"
"165.51015679","170.294","170.294","170.294"
"180.509143495","175.093","175.093","175.093"
"195.507611314","180.6","180.6","180.6"
"210.505360831","69.801","69.801","69.801"
"225.511611948","43.139","43.139","43.139"
"240.506011196","170.501","170.501","170.501"
"255.504480619","53.45","53.45","53.45"
"270.508399245","179.759","179.759","179.759"
"285.505639446","168.403","168.403","168.403"
"300.504789586","181.48","181.48","181.48"
"315.505620865","177.373","177.373","177.373"
"330.506726397","192.764","192.764","192.764"
"345.505783521","174.259","174.259","174.259"
"360.50846071","180.517","180.517","180.517"
"375.506370173","186.49","186.49","186.49"
"390.50508893","201.081","201.081","201.081"
"405.506152027","175.726","175.726","175.726"
"420.5100229","190.541","190.541","190.541"
"435.515720051","176.371","176.371","176.371"
"450.505338184","179.675","179.675","179.675"
"465.505493782","177.339","177.339","177.339"
"480.510140811","174.596","174.596","174.596"
"495.507131054","183.083","183.083","183.083"
"510.506458109","188.857","188.857","188.857"
"525.508135057","179.555","179.555","179.555"
"540.506163532","170.44","170.44","170.44"
"555.506606476","163.356","163.356","163.356"
"570.505706783","55.498","55.498","55.498"
"585.507630995","164.301","164.301","164.301"
"600.504917537","139.135","139.135","139.135"
"615.506002129","103.184","103.184","103.184"
"630.506411526","168.446","168.446","168.446"
"645.512548852","172.344","172.344","172.344"
"660.506799021","49.939","49.939","49.939"
"675.506097675","172.91","172.91","172.91"
"690.504432398","108.478","108.478","108.478"
"705.509363525","105.869","105.869","105.869"
"720.510091526","177.828","177.828","177.828"
"735.504098734","49.45","49.45","49.45"
"750.511802407","186.444","186.444","186.444"
"765.5044201","165.892","165.892","165.892"
"780.510328752","178.986","178.986","178.986"
"795.509390706","180.935","180.935","180.935"
"810.506211132","155.875","155.875","155.875"
"825.516258857","96.399","96.399","96.399"
"840.5052684","177.343","177.343","177.343"
"855.505566256","173.941","173.941","173.941"
"870.505048113","175.338","175.338","175.338"
"885.506583384","191.061","191.061","191.061"
"900.505800457","166.81","166.81","166.81"
"915.507275106","169.689","169.689","169.689"
"930.506781609","186.698","186.698","186.698"
"945.508433299","174.006","174.006","174.006"
"960.504976467","52.865","52.865","52.865"
"975.508590238","190.163","190.163","190.163"
"990.507398916","169.147","169.147","169.147"
"1005.518141809","133.18","133.18","133.18"
"1020.507906179","195.398","195.398","195.398"
"1035.507132411","139.304","139.304","139.304"
"1050.509689549","172.87","172.87","172.87"
"1065.505711411","183.524","183.524","183.524"
"1080.506067201","188.43","188.43","188.43"
"1095.510309464","147.675","147.675","147.675"
"1110.507470375","47.531","47.531","47.531"
